Edad	Sexo	Unidad	Periodo	Total
De 40 a 44 años	Mujeres	Valor absoluto	2009T2	1.412,8
De 40 a 44 años	Mujeres	Valor absoluto	2009T1	1.407,1
De 40 a 44 años	Mujeres	Valor absoluto	2008T4	1.401,4
De 40 a 44 años	Mujeres	Valor absoluto	2008T3	1.343,5
De 40 a 44 años	Mujeres	Valor absoluto	2008T2	1.347,2
De 40 a 44 años	Mujeres	Valor absoluto	2008T1	1.334,9
De 40 a 44 años	Mujeres	Valor absoluto	2007T4	1.313,7
De 40 a 44 años	Mujeres	Valor absoluto	2007T3	1.280,9
De 40 a 44 años	Mujeres	Valor absoluto	2007T2	1.296,1
De 40 a 44 años	Mujeres	Valor absoluto	2007T1	1.288,0
De 40 a 44 años	Mujeres	Valor absoluto	2006T4	1.250,9
De 40 a 44 años	Mujeres	Valor absoluto	2006T3	1.221,9
De 40 a 44 años	Mujeres	Valor absoluto	2006T2	1.212,6
De 40 a 44 años	Mujeres	Valor absoluto	2006T1	1.193,2
De 40 a 44 años	Mujeres	Valor absoluto	2005T4	1.185,6
De 40 a 44 años	Mujeres	Valor absoluto	2005T3	1.149,1
De 40 a 44 años	Mujeres	Valor absoluto	2005T2	1.174,6
De 40 a 44 años	Mujeres	Valor absoluto	2005T1	1.137,2
De 40 a 44 años	Mujeres	Valor absoluto	2004T4	1.138,6
De 40 a 44 años	Mujeres	Valor absoluto	2004T3	1.112,9
De 40 a 44 años	Mujeres	Valor absoluto	2004T2	1.101,4
De 40 a 44 años	Mujeres	Valor absoluto	2004T1	1.084,6
De 40 a 44 años	Mujeres	Valor absoluto	2003T4	1.078,6
De 40 a 44 años	Mujeres	Valor absoluto	2003T3	1.056,2
De 40 a 44 años	Mujeres	Valor absoluto	2003T2	1.041,3
De 40 a 44 años	Mujeres	Valor absoluto	2003T1	1.016,4
De 40 a 44 años	Mujeres	Valor absoluto	2002T4	1.017,5
De 40 a 44 años	Mujeres	Valor absoluto	2002T3	981,1
De 40 a 44 años	Mujeres	Valor absoluto	2002T2	977,9
De 40 a 44 años	Mujeres	Valor absoluto	2002T1	964,0
De 40 a 44 años	Mujeres	Porcentaje	2022T3	14,2
De 40 a 44 años	Mujeres	Porcentaje	2022T2	14,3
De 40 a 44 años	Mujeres	Porcentaje	2022T1	14,5
De 40 a 44 años	Mujeres	Porcentaje	2021T4	14,8
De 40 a 44 años	Mujeres	Porcentaje	2021T3	14,8
De 40 a 44 años	Mujeres	Porcentaje	2021T2	15,0
De 40 a 44 años	Mujeres	Porcentaje	2021T1	15,0
De 40 a 44 años	Mujeres	Porcentaje	2020T4	15,2
De 40 a 44 años	Mujeres	Porcentaje	2020T3	15,2
De 40 a 44 años	Mujeres	Porcentaje	2020T2	15,4
De 40 a 44 años	Mujeres	Porcentaje	2020T1	15,4
De 40 a 44 años	Mujeres	Porcentaje	2019T4	15,5
De 40 a 44 años	Mujeres	Porcentaje	2019T3	15,5
De 40 a 44 años	Mujeres	Porcentaje	2019T2	15,5
De 40 a 44 años	Mujeres	Porcentaje	2019T1	15,6
De 40 a 44 años	Mujeres	Porcentaje	2018T4	15,7
De 40 a 44 años	Mujeres	Porcentaje	2018T3	15,7
De 40 a 44 años	Mujeres	Porcentaje	2018T2	15,6
De 40 a 44 años	Mujeres	Porcentaje	2018T1	15,9
De 40 a 44 años	Mujeres	Porcentaje	2017T4	15,6
De 40 a 44 años	Mujeres	Porcentaje	2017T3	15,5
De 40 a 44 años	Mujeres	Porcentaje	2017T2	15,7
De 40 a 44 años	Mujeres	Porcentaje	2017T1	15,7
De 40 a 44 años	Mujeres	Porcentaje	2016T4	15,6
De 40 a 44 años	Mujeres	Porcentaje	2016T3	15,4
De 40 a 44 años	Mujeres	Porcentaje	2016T2	15,4
De 40 a 44 años	Mujeres	Porcentaje	2016T1	15,3
De 40 a 44 años	Mujeres	Porcentaje	2015T4	15,1
De 40 a 44 años	Mujeres	Porcentaje	2015T3	14,7
De 40 a 44 años	Mujeres	Porcentaje	2015T2	15,1
De 40 a 44 años	Mujeres	Porcentaje	2015T1	15,0
De 40 a 44 años	Mujeres	Porcentaje	2014T4	15,0
De 40 a 44 años	Mujeres	Porcentaje	2014T3	14,8
De 40 a 44 años	Mujeres	Porcentaje	2014T2	14,7
De 40 a 44 años	Mujeres	Porcentaje	2014T1	14,7
De 40 a 44 años	Mujeres	Porcentaje	2013T4	14,8
De 40 a 44 años	Mujeres	Porcentaje	2013T3	14,5
De 40 a 44 años	Mujeres	Porcentaje	2013T2	14,5
De 40 a 44 años	Mujeres	Porcentaje	2013T1	14,4
De 40 a 44 años	Mujeres	Porcentaje	2012T4	14,4
De 40 a 44 años	Mujeres	Porcentaje	2012T3	14,2
De 40 a 44 años	Mujeres	Porcentaje	2012T2	14,2
De 40 a 44 años	Mujeres	Porcentaje	2012T1	14,3
De 40 a 44 años	Mujeres	Porcentaje	2011T4	14,2
De 40 a 44 años	Mujeres	Porcentaje	2011T3	14,0
De 40 a 44 años	Mujeres	Porcentaje	2011T2	13,9
De 40 a 44 años	Mujeres	Porcentaje	2011T1	14,0
De 40 a 44 años	Mujeres	Porcentaje	2010T4	13,9
De 40 a 44 años	Mujeres	Porcentaje	2010T3	13,6
De 40 a 44 años	Mujeres	Porcentaje	2010T2	13,8
De 40 a 44 años	Mujeres	Porcentaje	2010T1	13,9
De 40 a 44 años	Mujeres	Porcentaje	2009T4	14,1
De 40 a 44 años	Mujeres	Porcentaje	2009T3	13,9
De 40 a 44 años	Mujeres	Porcentaje	2009T2	13,8
De 40 a 44 años	Mujeres	Porcentaje	2009T1	13,8
De 40 a 44 años	Mujeres	Porcentaje	2008T4	13,8
De 40 a 44 años	Mujeres	Porcentaje	2008T3	13,5
De 40 a 44 años	Mujeres	Porcentaje	2008T2	13,6
De 40 a 44 años	Mujeres	Porcentaje	2008T1	13,7
De 40 a 44 años	Mujeres	Porcentaje	2007T4	13,6
De 40 a 44 años	Mujeres	Porcentaje	2007T3	13,4
De 40 a 44 años	Mujeres	Porcentaje	2007T2	13,7
De 40 a 44 años	Mujeres	Porcentaje	2007T1	13,7
De 40 a 44 años	Mujeres	Porcentaje	2006T4	13,4
De 40 a 44 años	Mujeres	Porcentaje	2006T3	13,3
De 40 a 44 años	Mujeres	Porcentaje	2006T2	13,3
De 40 a 44 años	Mujeres	Porcentaje	2006T1	13,2
De 40 a 44 años	Mujeres	Porcentaje	2005T4	13,3
De 40 a 44 años	Mujeres	Porcentaje	2005T3	13,1
De 40 a 44 años	Mujeres	Porcentaje	2005T2	13,4
De 40 a 44 años	Mujeres	Porcentaje	2005T1	13,2
De 40 a 44 años	Mujeres	Porcentaje	2004T4	13,3
De 40 a 44 años	Mujeres	Porcentaje	2004T3	13,2
De 40 a 44 años	Mujeres	Porcentaje	2004T2	13,2
De 40 a 44 años	Mujeres	Porcentaje	2004T1	13,1
De 40 a 44 años	Mujeres	Porcentaje	2003T4	13,2
De 40 a 44 años	Mujeres	Porcentaje	2003T3	13,1
De 40 a 44 años	Mujeres	Porcentaje	2003T2	13,1
De 40 a 44 años	Mujeres	Porcentaje	2003T1	12,9
De 40 a 44 años	Mujeres	Porcentaje	2002T4	13,1
De 40 a 44 años	Mujeres	Porcentaje	2002T3	12,8
De 40 a 44 años	Mujeres	Porcentaje	2002T2	12,9
De 40 a 44 años	Mujeres	Porcentaje	2002T1	13,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2022T3	3.494,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2022T2	3.487,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2022T1	3.492,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2021T4	3.489,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2021T3	3.440,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2021T2	3.425,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2021T1	3.411,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2020T4	3.412,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2020T3	3.364,5
De 45 a 49 años	Ambos sexos	Valor absoluto	2020T2	3.260,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2020T1	3.342,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2019T4	3.353,9
De 45 a 49 años	Ambos sexos	Valor absoluto	2019T3	3.326,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2019T2	3.340,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2019T1	3.314,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2018T4	3.278,3
De 45 a 49 años	Ambos sexos	Valor absoluto	2018T3	3.255,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2018T2	3.284,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2018T1	3.256,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2017T4	3.235,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2017T3	3.208,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2017T2	3.203,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2017T1	3.214,5
De 45 a 49 años	Ambos sexos	Valor absoluto	2016T4	3.213,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2016T3	3.198,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2016T2	3.217,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2016T1	3.197,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2015T4	3.188,3
De 45 a 49 años	Ambos sexos	Valor absoluto	2015T3	3.158,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2015T2	3.182,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2015T1	3.155,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2014T4	3.150,9
De 45 a 49 años	Ambos sexos	Valor absoluto	2014T3	3.132,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2014T2	3.163,7
De 45 a 49 años	Ambos sexos	Valor absoluto	2014T1	3.126,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2013T4	3.120,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2013T3	3.120,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2013T2	3.150,7
De 45 a 49 años	Ambos sexos	Valor absoluto	2013T1	3.129,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2012T4	3.132,7
De 45 a 49 años	Ambos sexos	Valor absoluto	2012T3	3.091,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2012T2	3.088,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2012T1	3.064,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2011T4	3.040,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2011T3	2.980,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2011T2	2.982,8
De 45 a 49 años	Ambos sexos	Valor absoluto	2011T1	2.972,3
De 45 a 49 años	Ambos sexos	Valor absoluto	2010T4	2.942,5
De 45 a 49 años	Ambos sexos	Valor absoluto	2010T3	2.918,9
De 45 a 49 años	Ambos sexos	Valor absoluto	2010T2	2.925,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2010T1	2.895,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2009T4	2.851,9
De 45 a 49 años	Ambos sexos	Valor absoluto	2009T3	2.823,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2009T2	2.828,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2009T1	2.803,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2008T4	2.758,7
De 45 a 49 años	Ambos sexos	Valor absoluto	2008T3	2.717,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2008T2	2.705,5
De 45 a 49 años	Ambos sexos	Valor absoluto	2008T1	2.663,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2007T4	2.636,0
De 45 a 49 años	Ambos sexos	Valor absoluto	2007T3	2.601,3
De 45 a 49 años	Ambos sexos	Valor absoluto	2007T2	2.590,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2007T1	2.572,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2006T4	2.537,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2006T3	2.501,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2006T2	2.479,9
De 45 a 49 años	Ambos sexos	Valor absoluto	2006T1	2.443,5
De 45 a 49 años	Ambos sexos	Valor absoluto	2005T4	2.421,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2005T3	2.351,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2005T2	2.345,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2005T1	2.279,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2004T4	2.284,5
De 45 a 49 años	Ambos sexos	Valor absoluto	2004T3	2.227,4
De 45 a 49 años	Ambos sexos	Valor absoluto	2004T2	2.201,5
De 45 a 49 años	Ambos sexos	Valor absoluto	2004T1	2.177,9
De 45 a 49 años	Ambos sexos	Valor absoluto	2003T4	2.149,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2003T3	2.115,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2003T2	2.091,6
De 45 a 49 años	Ambos sexos	Valor absoluto	2003T1	2.075,3
De 45 a 49 años	Ambos sexos	Valor absoluto	2002T4	2.038,2
De 45 a 49 años	Ambos sexos	Valor absoluto	2002T3	2.020,9
De 45 a 49 años	Ambos sexos	Valor absoluto	2002T2	1.994,1
De 45 a 49 años	Ambos sexos	Valor absoluto	2002T1	1.948,1
De 45 a 49 años	Ambos sexos	Porcentaje	2022T3	14,9
De 45 a 49 años	Ambos sexos	Porcentaje	2022T2	14,9
De 45 a 49 años	Ambos sexos	Porcentaje	2022T1	15,0
De 45 a 49 años	Ambos sexos	Porcentaje	2021T4	15,0
De 45 a 49 años	Ambos sexos	Porcentaje	2021T3	14,7
De 45 a 49 años	Ambos sexos	Porcentaje	2021T2	14,8
De 45 a 49 años	Ambos sexos	Porcentaje	2021T1	14,9
De 45 a 49 años	Ambos sexos	Porcentaje	2020T4	14,8
De 45 a 49 años	Ambos sexos	Porcentaje	2020T3	14,7
De 45 a 49 años	Ambos sexos	Porcentaje	2020T2	14,8
De 45 a 49 años	Ambos sexos	Porcentaje	2020T1	14,5
De 45 a 49 años	Ambos sexos	Porcentaje	2019T4	14,5
De 45 a 49 años	Ambos sexos	Porcentaje	2019T3	14,4
De 45 a 49 años	Ambos sexos	Porcentaje	2019T2	14,5
De 45 a 49 años	Ambos sexos	Porcentaje	2019T1	14,5
De 45 a 49 años	Ambos sexos	Porcentaje	2018T4	14,3
De 45 a 49 años	Ambos sexos	Porcentaje	2018T3	14,2
De 45 a 49 años	Ambos sexos	Porcentaje	2018T2	14,4
De 45 a 49 años	Ambos sexos	Porcentaje	2018T1	14,4
De 45 a 49 años	Ambos sexos	Porcentaje	2017T4	14,2
De 45 a 49 años	Ambos sexos	Porcentaje	2017T3	14,1
De 45 a 49 años	Ambos sexos	Porcentaje	2017T2	14,1
De 45 a 49 años	Ambos sexos	Porcentaje	2017T1	14,2
De 45 a 49 años	Ambos sexos	Porcentaje	2016T4	14,1
De 45 a 49 años	Ambos sexos	Porcentaje	2016T3	14,0
De 45 a 49 años	Ambos sexos	Porcentaje	2016T2	14,1
De 45 a 49 años	Ambos sexos	Porcentaje	2016T1	14,0
De 45 a 49 años	Ambos sexos	Porcentaje	2015T4	13,9
De 45 a 49 años	Ambos sexos	Porcentaje	2015T3	13,8
De 45 a 49 años	Ambos sexos	Porcentaje	2015T2	13,8
De 45 a 49 años	Ambos sexos	Porcentaje	2015T1	13,8
De 45 a 49 años	Ambos sexos	Porcentaje	2014T4	13,7
De 45 a 49 años	Ambos sexos	Porcentaje	2014T3	13,7
De 45 a 49 años	Ambos sexos	Porcentaje	2014T2	13,8
De 45 a 49 años	Ambos sexos	Porcentaje	2014T1	13,7
De 45 a 49 años	Ambos sexos	Porcentaje	2013T4	13,5
De 45 a 49 años	Ambos sexos	Porcentaje	2013T3	13,5
De 45 a 49 años	Ambos sexos	Porcentaje	2013T2	13,6
De 45 a 49 años	Ambos sexos	Porcentaje	2013T1	13,4
De 45 a 49 años	Ambos sexos	Porcentaje	2012T4	13,4
De 45 a 49 años	Ambos sexos	Porcentaje	2012T3	13,2
De 45 a 49 años	Ambos sexos	Porcentaje	2012T2	13,1
De 45 a 49 años	Ambos sexos	Porcentaje	2012T1	13,1
De 45 a 49 años	Ambos sexos	Porcentaje	2011T4	13,0
De 45 a 49 años	Ambos sexos	Porcentaje	2011T3	12,7
De 45 a 49 años	Ambos sexos	Porcentaje	2011T2	12,7
De 45 a 49 años	Ambos sexos	Porcentaje	2011T1	12,7
De 45 a 49 años	Ambos sexos	Porcentaje	2010T4	12,6
De 45 a 49 años	Ambos sexos	Porcentaje	2010T3	12,5
De 45 a 49 años	Ambos sexos	Porcentaje	2010T2	12,5
De 45 a 49 años	Ambos sexos	Porcentaje	2010T1	12,4
De 45 a 49 años	Ambos sexos	Porcentaje	2009T4	12,3
De 45 a 49 años	Ambos sexos	Porcentaje	2009T3	12,2
De 45 a 49 años	Ambos sexos	Porcentaje	2009T2	12,1
De 45 a 49 años	Ambos sexos	Porcentaje	2009T1	12,0
De 45 a 49 años	Ambos sexos	Porcentaje	2008T4	11,9
De 45 a 49 años	Ambos sexos	Porcentaje	2008T3	11,7
De 45 a 49 años	Ambos sexos	Porcentaje	2008T2	11,7
De 45 a 49 años	Ambos sexos	Porcentaje	2008T1	11,7
De 45 a 49 años	Ambos sexos	Porcentaje	2007T4	11,6
De 45 a 49 años	Ambos sexos	Porcentaje	2007T3	11,5
De 45 a 49 años	Ambos sexos	Porcentaje	2007T2	11,6
De 45 a 49 años	Ambos sexos	Porcentaje	2007T1	11,6
De 45 a 49 años	Ambos sexos	Porcentaje	2006T4	11,5
De 45 a 49 años	Ambos sexos	Porcentaje	2006T3	11,4
De 45 a 49 años	Ambos sexos	Porcentaje	2006T2	11,4
De 45 a 49 años	Ambos sexos	Porcentaje	2006T1	11,4
De 45 a 49 años	Ambos sexos	Porcentaje	2005T4	11,3
De 45 a 49 años	Ambos sexos	Porcentaje	2005T3	11,1
De 45 a 49 años	Ambos sexos	Porcentaje	2005T2	11,1
De 45 a 49 años	Ambos sexos	Porcentaje	2005T1	10,9
De 45 a 49 años	Ambos sexos	Porcentaje	2004T4	11,1
De 45 a 49 años	Ambos sexos	Porcentaje	2004T3	10,9
De 45 a 49 años	Ambos sexos	Porcentaje	2004T2	10,9
De 45 a 49 años	Ambos sexos	Porcentaje	2004T1	10,8
De 45 a 49 años	Ambos sexos	Porcentaje	2003T4	10,7
De 45 a 49 años	Ambos sexos	Porcentaje	2003T3	10,6
De 45 a 49 años	Ambos sexos	Porcentaje	2003T2	10,7
De 45 a 49 años	Ambos sexos	Porcentaje	2003T1	10,7
De 45 a 49 años	Ambos sexos	Porcentaje	2002T4	10,6
De 45 a 49 años	Ambos sexos	Porcentaje	2002T3	10,6
De 45 a 49 años	Ambos sexos	Porcentaje	2002T2	10,6
De 45 a 49 años	Ambos sexos	Porcentaje	2002T1	10,5
De 45 a 49 años	Hombres	Valor absoluto	2022T3	1.843,1
De 45 a 49 años	Hombres	Valor absoluto	2022T2	1.847,0
De 45 a 49 años	Hombres	Valor absoluto	2022T1	1.847,3
De 45 a 49 años	Hombres	Valor absoluto	2021T4	1.856,1
De 45 a 49 años	Hombres	Valor absoluto	2021T3	1.839,1
De 45 a 49 años	Hombres	Valor absoluto	2021T2	1.811,4
De 45 a 49 años	Hombres	Valor absoluto	2021T1	1.806,8
De 45 a 49 años	Hombres	Valor absoluto	2020T4	1.808,5
De 45 a 49 años	Hombres	Valor absoluto	2020T3	1.799,4
De 45 a 49 años	Hombres	Valor absoluto	2020T2	1.761,9
De 45 a 49 años	Hombres	Valor absoluto	2020T1	1.777,3
De 45 a 49 años	Hombres	Valor absoluto	2019T4	1.796,9
De 45 a 49 años	Hombres	Valor absoluto	2019T3	1.786,3
De 45 a 49 años	Hombres	Valor absoluto	2019T2	1.784,4
De 45 a 49 años	Hombres	Valor absoluto	2019T1	1.769,3
De 45 a 49 años	Hombres	Valor absoluto	2018T4	1.757,9
De 45 a 49 años	Hombres	Valor absoluto	2018T3	1.754,6
De 45 a 49 años	Hombres	Valor absoluto	2018T2	1.759,3
De 45 a 49 años	Hombres	Valor absoluto	2018T1	1.745,0
De 45 a 49 años	Hombres	Valor absoluto	2017T4	1.734,6
De 45 a 49 años	Hombres	Valor absoluto	2017T3	1.724,5
De 45 a 49 años	Hombres	Valor absoluto	2017T2	1.726,6
De 45 a 49 años	Hombres	Valor absoluto	2017T1	1.721,0
De 45 a 49 años	Hombres	Valor absoluto	2016T4	1.719,0
De 45 a 49 años	Hombres	Valor absoluto	2016T3	1.723,5
De 45 a 49 años	Hombres	Valor absoluto	2016T2	1.726,7
De 45 a 49 años	Hombres	Valor absoluto	2016T1	1.720,6
De 45 a 49 años	Hombres	Valor absoluto	2015T4	1.714,3
De 45 a 49 años	Hombres	Valor absoluto	2015T3	1.704,1
De 45 a 49 años	Hombres	Valor absoluto	2015T2	1.721,5
De 45 a 49 años	Hombres	Valor absoluto	2015T1	1.701,5
De 45 a 49 años	Hombres	Valor absoluto	2014T4	1.708,6
De 45 a 49 años	Hombres	Valor absoluto	2014T3	1.707,9
De 45 a 49 años	Hombres	Valor absoluto	2014T2	1.709,8
De 45 a 49 años	Hombres	Valor absoluto	2014T1	1.692,3
De 45 a 49 años	Hombres	Valor absoluto	2013T4	1.692,6
De 45 a 49 años	Hombres	Valor absoluto	2013T3	1.696,8
De 45 a 49 años	Hombres	Valor absoluto	2013T2	1.692,5
De 45 a 49 años	Hombres	Valor absoluto	2013T1	1.690,9
De 45 a 49 años	Hombres	Valor absoluto	2012T4	1.691,2
De 45 a 49 años	Hombres	Valor absoluto	2012T3	1.689,0
De 45 a 49 años	Hombres	Valor absoluto	2012T2	1.684,2
De 45 a 49 años	Hombres	Valor absoluto	2012T1	1.667,3
De 45 a 49 años	Hombres	Valor absoluto	2011T4	1.668,7
De 45 a 49 años	Hombres	Valor absoluto	2011T3	1.648,6
De 45 a 49 años	Hombres	Valor absoluto	2011T2	1.636,4
De 45 a 49 años	Hombres	Valor absoluto	2011T1	1.627,8
De 45 a 49 años	Hombres	Valor absoluto	2010T4	1.616,0
De 45 a 49 años	Hombres	Valor absoluto	2010T3	1.620,4
De 45 a 49 años	Hombres	Valor absoluto	2010T2	1.614,7
De 45 a 49 años	Hombres	Valor absoluto	2010T1	1.606,7
De 45 a 49 años	Hombres	Valor absoluto	2009T4	1.591,0
De 45 a 49 años	Hombres	Valor absoluto	2009T3	1.583,0
De 45 a 49 años	Hombres	Valor absoluto	2009T2	1.583,6
De 45 a 49 años	Hombres	Valor absoluto	2009T1	1.573,8
De 45 a 49 años	Hombres	Valor absoluto	2008T4	1.552,1
De 45 a 49 años	Hombres	Valor absoluto	2008T3	1.549,8
De 45 a 49 años	Hombres	Valor absoluto	2008T2	1.547,5
De 45 a 49 años	Hombres	Valor absoluto	2008T1	1.520,4
De 45 a 49 años	Hombres	Valor absoluto	2007T4	1.510,9
De 45 a 49 años	Hombres	Valor absoluto	2007T3	1.496,7
De 45 a 49 años	Hombres	Valor absoluto	2007T2	1.492,8
De 45 a 49 años	Hombres	Valor absoluto	2007T1	1.486,4
De 45 a 49 años	Hombres	Valor absoluto	2006T4	1.476,1
De 45 a 49 años	Hombres	Valor absoluto	2006T3	1.466,5
De 45 a 49 años	Hombres	Valor absoluto	2006T2	1.451,3
De 45 a 49 años	Hombres	Valor absoluto	2006T1	1.435,7
De 45 a 49 años	Hombres	Valor absoluto	2005T4	1.424,4
De 45 a 49 años	Hombres	Valor absoluto	2005T3	1.402,7
De 45 a 49 años	Hombres	Valor absoluto	2005T2	1.383,6
De 45 a 49 años	Hombres	Valor absoluto	2005T1	1.347,1
De 45 a 49 años	Hombres	Valor absoluto	2004T4	1.351,0
De 45 a 49 años	Hombres	Valor absoluto	2004T3	1.332,5
De 45 a 49 años	Hombres	Valor absoluto	2004T2	1.315,6
De 45 a 49 años	Hombres	Valor absoluto	2004T1	1.297,6
De 45 a 49 años	Hombres	Valor absoluto	2003T4	1.290,5
De 45 a 49 años	Hombres	Valor absoluto	2003T3	1.277,6
De 45 a 49 años	Hombres	Valor absoluto	2003T2	1.258,0
De 45 a 49 años	Hombres	Valor absoluto	2003T1	1.250,8
De 45 a 49 años	Hombres	Valor absoluto	2002T4	1.232,8
De 45 a 49 años	Hombres	Valor absoluto	2002T3	1.225,8
De 45 a 49 años	Hombres	Valor absoluto	2002T2	1.211,8
De 45 a 49 años	Hombres	Valor absoluto	2002T1	1.201,2
De 45 a 49 años	Hombres	Porcentaje	2022T3	14,8
De 45 a 49 años	Hombres	Porcentaje	2022T2	15,0
De 45 a 49 años	Hombres	Porcentaje	2022T1	15,1
De 45 a 49 años	Hombres	Porcentaje	2021T4	15,1
De 45 a 49 años	Hombres	Porcentaje	2021T3	14,8
De 45 a 49 años	Hombres	Porcentaje	2021T2	14,8
De 45 a 49 años	Hombres	Porcentaje	2021T1	15,0
De 45 a 49 años	Hombres	Porcentaje	2020T4	14,8
De 45 a 49 años	Hombres	Porcentaje	2020T3	14,7
De 45 a 49 años	Hombres	Porcentaje	2020T2	14,9
De 45 a 49 años	Hombres	Porcentaje	2020T1	14,5
De 45 a 49 años	Hombres	Porcentaje	2019T4	14,6
De 45 a 49 años	Hombres	Porcentaje	2019T3	14,5
De 45 a 49 años	Hombres	Porcentaje	2019T2	14,5
De 45 a 49 años	Hombres	Porcentaje	2019T1	14,5
De 45 a 49 años	Hombres	Porcentaje	2018T4	14,4
De 45 a 49 años	Hombres	Porcentaje	2018T3	14,3
De 45 a 49 años	Hombres	Porcentaje	2018T2	14,4
De 45 a 49 años	Hombres	Porcentaje	2018T1	14,4
De 45 a 49 años	Hombres	Porcentaje	2017T4	14,3
De 45 a 49 años	Hombres	Porcentaje	2017T3	14,1
De 45 a 49 años	Hombres	Porcentaje	2017T2	14,2
De 45 a 49 años	Hombres	Porcentaje	2017T1	14,2
De 45 a 49 años	Hombres	Porcentaje	2016T4	14,1
De 45 a 49 años	Hombres	Porcentaje	2016T3	14,1
De 45 a 49 años	Hombres	Porcentaje	2016T2	14,1
De 45 a 49 años	Hombres	Porcentaje	2016T1	14,1
De 45 a 49 años	Hombres	Porcentaje	2015T4	14,0
De 45 a 49 años	Hombres	Porcentaje	2015T3	13,8
De 45 a 49 años	Hombres	Porcentaje	2015T2	13,9
De 45 a 49 años	Hombres	Porcentaje	2015T1	13,8
De 45 a 49 años	Hombres	Porcentaje	2014T4	13,8
De 45 a 49 años	Hombres	Porcentaje	2014T3	13,8
De 45 a 49 años	Hombres	Porcentaje	2014T2	13,8
De 45 a 49 años	Hombres	Porcentaje	2014T1	13,8
De 45 a 49 años	Hombres	Porcentaje	2013T4	13,6
De 45 a 49 años	Hombres	Porcentaje	2013T3	13,5
De 45 a 49 años	Hombres	Porcentaje	2013T2	13,5
De 45 a 49 años	Hombres	Porcentaje	2013T1	13,4
De 45 a 49 años	Hombres	Porcentaje	2012T4	13,4
De 45 a 49 años	Hombres	Porcentaje	2012T3	13,2
De 45 a 49 años	Hombres	Porcentaje	2012T2	13,2
De 45 a 49 años	Hombres	Porcentaje	2012T1	13,1
De 45 a 49 años	Hombres	Porcentaje	2011T4	13,0
De 45 a 49 años	Hombres	Porcentaje	2011T3	12,8
De 45 a 49 años	Hombres	Porcentaje	2011T2	12,7
De 45 a 49 años	Hombres	Porcentaje	2011T1	12,7
De 45 a 49 años	Hombres	Porcentaje	2010T4	12,5
De 45 a 49 años	Hombres	Porcentaje	2010T3	12,5
De 45 a 49 años	Hombres	Porcentaje	2010T2	12,4
